name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes,new_node_id
,1,41190707,,-111.8962532,33.4002322,2,tertiary,,1.0,,274
,17,256194249,,-111.9738299,33.4371135,-1,motorway,,17.0,,290
,23,2301213547,,-111.9722249,33.3508115,-1,motorway,,23.0,,296
,30,42230556,,-111.9677991,33.3759744,1,motorway,,30.0,,303
,37,3874076266,,-111.8785744,33.3855075,-1,motorway,,37.0,,310
,65,316737158,,-111.9726789,33.3344285,-1,secondary,,65.0,,338
,110,41819424,,-111.920726,33.3530584,2,tertiary,,110.0,,383
,121,42040191,,-111.9519201,33.4485752,2,primary,,121.0,,394
,127,42225093,,-111.9682526,33.3964879,2,tertiary,,127.0,,400
,135,320625571,,-111.9784773,33.410114,-1,motorway,,135.0,,408
,153,42491441,,-111.8831837,33.4167388,2,tertiary,,153.0,,426
,184,255755992,,-111.8924599,33.3803658,1,motorway,,184.0,,457
,208,2821297355,,-111.8962086,33.4349931,1,motorway,,208.0,,481
,209,255817451,,-111.8889757,33.4331362,-1,motorway,,209.0,,482
,226,255822024,,-111.9254503,33.4365151,1,motorway,,226.0,,499
,275,314435675,signal,-111.8781205,33.3860623,1,motorway,,275.0,,548
,301,255756947,,-111.8803283,33.3856431,-1,motorway,,301.0,,574
,311,314439716,,-111.8937892,33.3698643,1,motorway,,311.0,,584
,315,314441682,,-111.8942832,33.3636365,1,secondary,,315.0,,588
,325,314443644,,-111.8932961,33.3348039,-1,secondary,,325.0,,598
,326,314444066,,-111.8934168,33.3331318,-1,motorway,,326.0,,599
,338,255816388,,-111.8939906,33.4351451,-1,motorway,,338.0,,611
,339,4347778850,,-111.8916869,33.430412,1,motorway,,339.0,,612
,342,314765288,,-111.8909342,33.4296178,-1,motorway,,342.0,,615
,345,314765289,,-111.8912043,33.4296205,1,motorway,,345.0,,618
,352,255817890,,-111.8928606,33.433051,1,motorway,,352.0,,625
,359,316115633,,-111.97869,33.4347363,1,motorway,,359.0,,632
,363,1759242280,,-111.9664624,33.4393155,1,motorway,,363.0,,636
,418,5923391931,,-111.9681498,33.3762119,-1,motorway,,418.0,,691
,469,41216712,,-111.9786272,33.411521,1,motorway,,469.0,,742
,474,320996695,,-111.9002132,33.3675143,2,tertiary,,474.0,,747
,476,41941495,,-111.9198248,33.3571842,2,tertiary,,476.0,,749
,479,5130910789,,-111.8928035,33.3804781,-1,motorway,,479.0,,752
,509,330671239,,-111.8847826,33.4148783,1,primary,,509.0,,782
,536,256186747,,-111.964671,33.4393996,-1,motorway,,536.0,,809
,545,41770164,,-111.9203207,33.3273629,2,tertiary,,545.0,,818
,581,193468219,,-111.9819475,33.4111272,-1,motorway,,581.0,,854
,582,255757444,,-111.8806616,33.3861709,1,motorway,,582.0,,855
,584,41489917,,-111.9840523,33.4108145,1,motorway,,584.0,,857
,594,42313390,,-111.8982934,33.4359041,1,motorway,,594.0,,867
,596,316119371,,-111.966005,33.4393679,-1,motorway,,596.0,,869
,659,2820908295,signal,-111.882872,33.4293692,2,tertiary,,659.0,,932
,661,419381704,,-111.9719353,33.3773848,1,tertiary,,661.0,,934
,703,6149095222,signal,-111.978435,33.4218257,1,motorway,,703.0,,976
,707,1945648598,,-111.893464,33.3411913,1,motorway,,707.0,,980
