link_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,from_biway,is_link,vdf_toll,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes
1,36,274,1,494.46,1,90,99999,connector,0,"LINESTRING (-111.8924588833519 33.403354232275376, -111.8962532 33.4002322)",1,0,0,,0.15,4,1,0.31,55.0,55.0,0.33,,,,
2,274,36,1,494.46,1,90,99999,connector,0,"LINESTRING (-111.8962532 33.4002322, -111.8924588833519 33.403354232275376)",1,0,0,,0.15,4,1,0.31,55.0,55.0,0.33,,,,
3,166,290,1,1403.91,1,90,99999,connector,0,"LINESTRING (-111.9598415353645 33.441876195169336, -111.9738299 33.4371135)",1,0,0,,0.15,4,1,0.87,55.0,55.0,0.94,,,,
4,290,166,1,1403.91,1,90,99999,connector,0,"LINESTRING (-111.9738299 33.4371135, -111.9598415353645 33.441876195169336)",1,0,0,,0.15,4,1,0.87,55.0,55.0,0.94,,,,
5,241,296,1,916.76,1,90,99999,connector,0,"LINESTRING (-111.96258038138734 33.352487205280845, -111.9722249 33.3508115)",1,0,0,,0.15,4,1,0.57,55.0,55.0,0.61,,,,
6,296,241,1,916.76,1,90,99999,connector,0,"LINESTRING (-111.9722249 33.3508115, -111.96258038138734 33.352487205280845)",1,0,0,,0.15,4,1,0.57,55.0,55.0,0.61,,,,
7,238,303,1,659.05,1,90,99999,connector,0,"LINESTRING (-111.96103491827597 33.37421361881089, -111.9677991 33.3759744)",1,0,0,,0.15,4,1,0.41,55.0,55.0,0.44,,,,
8,303,238,1,659.05,1,90,99999,connector,0,"LINESTRING (-111.9677991 33.3759744, -111.96103491827597 33.37421361881089)",1,0,0,,0.15,4,1,0.41,55.0,55.0,0.44,,,,
9,40,310,1,372.34,1,90,99999,connector,0,"LINESTRING (-111.88209653480475 33.38710114847131, -111.8785744 33.3855075)",1,0,0,,0.15,4,1,0.23,55.0,55.0,0.25,,,,
10,310,40,1,372.34,1,90,99999,connector,0,"LINESTRING (-111.8785744 33.3855075, -111.88209653480475 33.38710114847131)",1,0,0,,0.15,4,1,0.23,55.0,55.0,0.25,,,,
11,239,338,1,281.87,1,90,99999,connector,0,"LINESTRING (-111.96997370773478 33.33556986161341, -111.9726789 33.3344285)",1,0,0,,0.15,4,1,0.18,55.0,55.0,0.19,,,,
12,338,239,1,281.87,1,90,99999,connector,0,"LINESTRING (-111.9726789 33.3344285, -111.96997370773478 33.33556986161341)",1,0,0,,0.15,4,1,0.18,55.0,55.0,0.19,,,,
13,43,383,1,150.45,1,90,99999,connector,0,"LINESTRING (-111.92185645510564 33.35208880235768, -111.920726 33.3530584)",1,0,0,,0.15,4,1,0.09,55.0,55.0,0.1,,,,
14,383,43,1,150.45,1,90,99999,connector,0,"LINESTRING (-111.920726 33.3530584, -111.92185645510564 33.35208880235768)",1,0,0,,0.15,4,1,0.09,55.0,55.0,0.1,,,,
15,188,394,1,936.09,1,90,99999,connector,0,"LINESTRING (-111.95211056109089 33.457013573822636, -111.9519201 33.4485752)",1,0,0,,0.15,4,1,0.58,55.0,55.0,0.62,,,,
16,394,188,1,936.09,1,90,99999,connector,0,"LINESTRING (-111.9519201 33.4485752, -111.95211056109089 33.457013573822636)",1,0,0,,0.15,4,1,0.58,55.0,55.0,0.62,,,,
17,142,400,1,626.19,1,90,99999,connector,0,"LINESTRING (-111.97037986296499 33.40184436874588, -111.9682526 33.3964879)",1,0,0,,0.15,4,1,0.39,55.0,55.0,0.42,,,,
18,400,142,1,626.19,1,90,99999,connector,0,"LINESTRING (-111.9682526 33.3964879, -111.97037986296499 33.40184436874588)",1,0,0,,0.15,4,1,0.39,55.0,55.0,0.42,,,,
19,142,408,1,1186.86,1,90,99999,connector,0,"LINESTRING (-111.97037986296499 33.40184436874588, -111.9784773 33.410114)",1,0,0,,0.15,4,1,0.74,55.0,55.0,0.79,,,,
20,408,142,1,1186.86,1,90,99999,connector,0,"LINESTRING (-111.9784773 33.410114, -111.97037986296499 33.40184436874588)",1,0,0,,0.15,4,1,0.74,55.0,55.0,0.79,,,,
21,103,426,1,418.78,1,90,99999,connector,0,"LINESTRING (-111.88113954590531 33.420102984495955, -111.8831837 33.4167388)",1,0,0,,0.15,4,1,0.26,55.0,55.0,0.28,,,,
22,426,103,1,418.78,1,90,99999,connector,0,"LINESTRING (-111.8831837 33.4167388, -111.88113954590531 33.420102984495955)",1,0,0,,0.15,4,1,0.26,55.0,55.0,0.28,,,,
23,163,457,1,944.91,1,90,99999,connector,0,"LINESTRING (-111.90118120234806 33.38473032392483, -111.8924599 33.3803658)",1,0,0,,0.15,4,1,0.59,55.0,55.0,0.63,,,,
24,457,163,1,944.91,1,90,99999,connector,0,"LINESTRING (-111.8924599 33.3803658, -111.90118120234806 33.38473032392483)",1,0,0,,0.15,4,1,0.59,55.0,55.0,0.63,,,,
25,224,481,1,732.1,1,90,99999,connector,0,"LINESTRING (-111.89860937289347 33.42870682143497, -111.8962086 33.4349931)",1,0,0,,0.15,4,1,0.46,55.0,55.0,0.49,,,,
26,481,224,1,732.1,1,90,99999,connector,0,"LINESTRING (-111.8962086 33.4349931, -111.89860937289347 33.42870682143497)",1,0,0,,0.15,4,1,0.46,55.0,55.0,0.49,,,,
27,100,482,1,497.78,1,90,99999,connector,0,"LINESTRING (-111.88799392457922 33.428724271990404, -111.8889757 33.4331362)",1,0,0,,0.15,4,1,0.31,55.0,55.0,0.33,,,,
28,482,100,1,497.78,1,90,99999,connector,0,"LINESTRING (-111.8889757 33.4331362, -111.88799392457922 33.428724271990404)",1,0,0,,0.15,4,1,0.31,55.0,55.0,0.33,,,,
29,99,499,1,428.6,1,90,99999,connector,0,"LINESTRING (-111.92124235936926 33.434938395131745, -111.9254503 33.4365151)",1,0,0,,0.15,4,1,0.27,55.0,55.0,0.29,,,,
