zone_id,origin_count,origin_avg_distance_mile,origin_avg_distance_km,origin_avg_free_flow,origin_avg_congestion,destination_count,destination_avg_distance_mile,destination_avg_distance_km,destination_avg_free_flow,destination_avg_congestion
1,272,6.11,9.83,8.69,8.69,272,6.10,9.81,8.73,8.73
2,272,4.34,6.98,6.20,6.20,272,4.47,7.20,6.34,6.34
3,272,5.37,8.64,7.78,7.78,272,5.43,8.73,7.66,7.66
4,272,4.30,6.92,6.45,6.45,272,4.34,6.99,6.35,6.35
5,272,4.77,7.68,6.22,6.22,272,4.69,7.55,6.25,6.25
6,272,4.80,7.73,6.97,6.97,272,4.85,7.80,6.88,6.88
7,272,4.22,6.78,5.69,5.69,272,4.26,6.85,5.75,5.75
8,272,5.15,8.28,7.50,7.50,272,5.14,8.26,7.52,7.52
9,272,5.81,9.34,7.31,7.31,272,5.11,8.22,7.22,7.22
10,272,4.14,6.66,5.99,5.99,272,4.25,6.84,5.94,5.94
11,272,5.75,9.25,6.82,6.82,272,5.60,9.02,6.39,6.39
12,272,7.66,12.32,8.89,8.89,272,7.28,11.71,10.14,10.14
13,272,6.58,10.59,9.48,9.48,272,6.76,10.88,9.41,9.41
14,272,5.45,8.76,7.77,7.77,272,5.52,8.89,7.65,7.65
15,272,6.13,9.86,9.72,9.72,272,6.33,10.18,9.51,9.51
16,272,3.98,6.41,5.28,5.28,272,3.99,6.42,5.30,5.30
17,272,4.03,6.48,5.34,5.34,272,4.01,6.44,5.31,5.31
18,272,5.04,8.11,6.58,6.58,272,5.19,8.35,5.81,5.81
19,272,4.02,6.47,5.19,5.19,272,4.08,6.56,5.11,5.11
20,272,4.92,7.91,6.70,6.70,272,4.89,7.86,6.73,6.73
21,272,4.27,6.88,5.91,5.91,272,4.29,6.90,5.98,5.98
22,272,4.84,7.79,6.68,6.68,272,4.72,7.59,6.65,6.65
23,272,5.05,8.12,6.36,6.36,272,5.41,8.71,6.73,6.73
24,272,4.95,7.97,6.06,6.06,272,4.90,7.89,5.77,5.77
25,272,7.56,12.16,8.64,8.64,272,7.17,11.54,9.89,9.89
26,272,6.85,11.03,7.75,7.75,272,6.47,10.40,9.01,9.01
27,272,6.38,10.27,9.26,9.26,272,6.56,10.56,9.19,9.19
