zone_id,node_id,old_poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,boundary_geometry,geometry,x_coord,y_coord
1,1,1,28711662.0,,,,park,,"POLYGON ((-111.9088349 33.3297103, -111.90838 33.3300043, -111.9075217 33.3304992, -111.9074602 33.3304392, -111.9073329 33.3303127, -111.9071183 33.3301191, -111.9069123 33.3299828, -111.9070925 33.3297247, -111.9074444 33.3292012, -111.9076504 33.3288569, -111.9076933 33.328692, -111.9077363 33.3284912, -111.9082684 33.3283191, -111.9088006 33.3282187, -111.9090237 33.3287207, -111.9090752 33.3295956, -111.9088349 33.3297103))",POINT (-111.90811066125076 33.329337723452134),-111.90811066125076,33.329337723452134
2,2,28,30588254.0,,,,park,,"POLYGON ((-111.9338211 33.4096815, -111.9338617 33.409698, -111.9339161 33.4097118, -111.9347716 33.4097057, -111.9348395 33.409763, -111.9348436 33.4107747, -111.9306315 33.4107965, -111.9305825 33.4107657, -111.9305712 33.4107239, -111.930574 33.4094068, -111.9336762 33.4093897, -111.9337278 33.4094185, -111.9337491 33.4094687, -111.9337423 33.4095893, -111.9337762 33.409644, -111.9338211 33.4096815))",POINT (-111.93260762508893 33.41012462138486),-111.93260762508893,33.41012462138486
3,3,83,242882054.0,,,,park,,"POLYGON ((-111.9122323 33.4205786, -111.9122312 33.4199511, -111.9122305 33.4195665, -111.9136795 33.4195554, -111.9136819 33.4198501, -111.9136151 33.4199608, -111.9132018 33.4204125, -111.9131219 33.4204975, -111.9129772 33.4205723, -111.9122323 33.4205786))",POINT (-111.9128676064369 33.42001896497087),-111.9128676064369,33.42001896497087
4,4,164,498350238.0,,,,park,,"POLYGON ((-111.9164091 33.4007651, -111.916395 33.4008334, -111.916851 33.4006878, -111.9170334 33.4002176, -111.9171353 33.3997764, -111.9161885 33.3995727, -111.9160966 33.3997171, -111.9166625 33.3998257, -111.9165311 33.4003195, -111.916574 33.4003754, -111.9165644 33.4004178, -111.9167625 33.4004549, -111.9167169 33.4006117, -111.9165268 33.4005832, -111.916503 33.4006878, -111.9164225 33.4007124, -111.9164091 33.4007651))",POINT (-111.9167310322687 33.40011399549809),-111.9167310322687,33.40011399549809
5,5,966,904449447.0,,,,park,,"POLYGON ((-111.9336828 33.345303, -111.9332827 33.3459447, -111.9333026 33.3462966, -111.933008 33.3463842, -111.9326223 33.3460886, -111.9320741 33.3460873, -111.9320589 33.3464057, -111.9310157 33.3464007, -111.9309504 33.3460455, -111.931286 33.3459224, -111.9322153 33.3453731, -111.9324431 33.3452983, -111.9336828 33.345303))",POINT (-111.93236872503347 33.34585645733368),-111.93236872503347,33.34585645733368
6,6,3214,1021750902.0,,,,park,,"POLYGON ((-111.9177869 33.4128143, -111.917794 33.412788, -111.9175979 33.4126056, -111.916578 33.4117176, -111.9164378 33.4116224, -111.915969 33.4113732, -111.9159516 33.4113639, -111.9157338 33.4117807, -111.9157627 33.4118039, -111.9157764 33.4118352, -111.9157792 33.411853, -111.915744 33.4119583, -111.9156253 33.4125941, -111.9156324 33.4126206, -111.9156602 33.4126483, -111.9156831 33.4126642, -111.9157267 33.4126748, -111.9159738 33.4127171, -111.9161084 33.412731, -111.9162414 33.4127356, -111.9163428 33.4127402, -111.9164925 33.4127376, -111.9166096 33.4127259, -111.9166498 33.412691, -111.9167865 33.4126784, -111.9169603 33.4126563, -111.917011 33.4126606, -111.9170541 33.4126925, -111.9171212 33.4127986, -111.9171539 33.4128234, -111.9172042 33.4128312, -111.9174139 33.4128088, -111.9175251 33.412815, -111.9177869 33.4128143))",POINT (-111.91646700563827 33.41224450052699),-111.91646700563827,33.41224450052699
7,7,3367,1064499322.0,,,,park,,"POLYGON ((-111.9111942 33.3711094, -111.9102262 33.3711076, -111.9102276 33.3712237, -111.9102439 33.3723433, -111.9103606 33.3723233, -111.9105377 33.3722807, -111.910742 33.3722337, -111.9109306 33.3722006, -111.9110619 33.3721937, -111.9111275 33.3721881, -111.9111475 33.3721748, -111.9111717 33.3721623, -111.9111907 33.3721422, -111.9111974 33.3721293, -111.9111989 33.3721121, -111.9111942 33.3711094))",POINT (-111.91070265877185 33.37167796067181),-111.91070265877185,33.37167796067181
8,8,3399,1075017370.0,,,,park,,"POLYGON ((-111.9240728 33.3439976, -111.9243313 33.3440449, -111.924385 33.3439568, -111.9245294 33.343762, -111.9247226 33.3435783, -111.9249381 33.3433742, -111.9250492 33.3432387, -111.9251425 33.3430939, -111.9252269 33.3429214, -111.925278 33.3427135, -111.9252868 33.3424092, -111.9252887 33.3420552, -111.9252861 33.3420183, -111.9252596 33.3419962, -111.9251965 33.3419909, -111.9250867 33.3419909, -111.9241323 33.3419916, -111.9240728 33.3439976))",POINT (-111.92461603433958 33.34283752238079),-111.92461603433958,33.34283752238079
9,9,3514,1119329675.0,,,,park,,"POLYGON ((-111.8989103 33.4040614, -111.898241 33.4040569, -111.8981794 33.4040364, -111.8981389 33.4040055, -111.8981125 33.4039394, -111.8976914 33.4039322, -111.8976654 33.4039603, -111.8976577 33.4039909, -111.8976673 33.4060656, -111.8977007 33.406214, -111.8977411 33.4063462, -111.8989294 33.4058388, -111.8989103 33.4040614))",POINT (-111.89825826544912 33.40506143099325),-111.89825826544912,33.40506143099325
10,10,3733,1299588176.0,,,,park,,"POLYGON ((-111.9224162 33.3743806, -111.9227225 33.3743548, -111.9227785 33.3743818, -111.922884 33.3746823, -111.9229259 33.3747549, -111.9229909 33.3748561, -111.9230775 33.3749966, -111.9231511 33.3751132, -111.9232033 33.3751992, -111.923221 33.3752502, -111.9232704 33.375392, -111.9233368 33.3755812, -111.9233517 33.3756165, -111.9233556 33.3756284, -111.9233439 33.3756835, -111.9231592 33.3756577, -111.9229763 33.3756299, -111.9229863 33.3756984, -111.9230183 33.3757029, -111.9233308 33.3757473, -111.9233965 33.3757595, -111.923513 33.3757894, -111.9238148 33.3758736, -111.9238241 33.3758422, -111.9238002 33.3758358, -111.9234952 33.3757544, -111.9234476 33.3756177, -111.9233787 33.3754181, -111.9233247 33.3752633, -111.9232509 33.3750494, -111.923182 33.3748614, -111.9231088 33.3746529, -111.9230151 33.3743903, -111.9232846 33.3741712, -111.9232294 33.3741282, -111.9232132 33.3741436, -111.9229701 33.3743754, -111.9229066 33.3743543, -111.922844 33.3743291, -111.9227978 33.3743162, -111.92275 33.3743018, -111.9227031 33.3742974, -111.9226399 33.3742951, -111.9224099 33.374311, -111.9224162 33.3743806))",POINT (-111.92309721588695 33.3749284701657),-111.92309721588695,33.3749284701657
